field	2.spe
 332.000	
 332.002	 16150
 332.005	 16150
 332.007	 16150
 332.009	 16150
 332.012	 16150
 332.014	 16150
 332.016	 16160
 332.019	 16150
 332.021	 16135
 332.023	 16135
 332.026	 16135
 332.028	 16120
 332.030	 16120
 332.033	 16120
 332.035	 16135
 332.038	 16150
 332.040	 16150
 332.042	 16150
 332.045	 16150
 332.047	 16150
 332.049	 16150
 332.052	 16120
 332.054	 16120
 332.056	 16120
 332.059	 16120
 332.061	 16120
 332.063	 16110
 332.066	 16110
 332.068	 16095
 332.070	 16095
 332.073	 16120
 332.075	 16135
 332.077	 16135
 332.080	 16150
 332.082	 16150
 332.084	 16150
 332.087	 16150
 332.089	 16150
 332.091	 16150
 332.094	 16150
 332.096	 16135
 332.098	 16150
 332.101	 16150
 332.103	 16150
 332.105	 16135
 332.108	 16150
 332.110	 16150
 332.113	 16135
 332.115	 16120
 332.117	 16120
 332.120	 16120
 332.122	 16120
 332.124	 16110
 332.127	 16120
 332.129	 16120
 332.131	 16120
 332.134	 16120
 332.136	 16135
 332.138	 16120
 332.141	 16120
 332.143	 16135
 332.145	 16135
 332.148	 16120
 332.150	 16120
 332.152	 16120
 332.155	 16120
 332.157	 16120
 332.159	 16120
 332.162	 16110
 332.164	 16110
 332.166	 16120
 332.169	 16120
 332.171	 16120
 332.173	 16135
 332.176	 16135
 332.178	 16135
 332.181	 16135
 332.183	 16135
 332.185	 16135
 332.188	 16135
 332.190	 16135
 332.192	 16135
 332.195	 16135
 332.197	 16135
 332.199	 16135
 332.202	 16120
 332.204	 16135
 332.206	 16120
 332.209	 16110
 332.211	 16120
 332.213	 16120
 332.216	 16120
 332.218	 16135
 332.220	 16120
 332.223	 16150
 332.225	 16150
 332.227	 16150
 332.230	 16150
 332.232	 16150
 332.234	 16120
 332.237	 16110
 332.239	 16110
 332.241	 16110
 332.244	 16110
 332.246	 16110
 332.249	 16110
 332.251	 16120
 332.253	 16120
 332.256	 16120
 332.258	 16120
 332.260	 16120
 332.263	 16120
 332.265	 16120
 332.267	 16135
 332.270	 16150
 332.272	 16135
 332.274	 16135
 332.277	 16150
 332.279	 16135
 332.281	 16120
 332.284	 16135
 332.286	 16120
 332.288	 16120
 332.291	 16135
 332.293	 16150
 332.295	 16150
 332.298	 16135
 332.300	 16135
 332.302	 16120
 332.305	 16120
 332.307	 16120
 332.309	 16135
 332.312	 16120
 332.314	 16135
 332.316	 16135
 332.319	 16135
 332.321	 16120
 332.324	 16135
 332.326	 16120
 332.328	 16120
 332.331	 16120
 332.333	 16120
 332.335	 16110
 332.338	 16120
 332.340	 16110
 332.342	 16120
 332.345	 16110
 332.347	 16120
 332.349	 16110
 332.352	 16110
 332.354	 16110
 332.356	 16110
 332.359	 16095
 332.361	 16110
 332.363	 16095
 332.366	 16095
 332.368	 16110
 332.370	 16110
 332.373	 16095
 332.375	 16110
 332.377	 16110
 332.380	 16110
 332.382	 16120
 332.384	 16120
 332.387	 16135
 332.389	 16110
 332.392	 16110
 332.394	 16110
 332.396	 16120
 332.399	 16110
 332.401	 16110
 332.403	 16120
 332.406	 16120
 332.408	 16120
 332.410	 16120
 332.413	 16120
